### 01100	Metabolic pathways
encin_5517_1:Eint_080240	K03014
encin_5517_1:Eint_040920	K03127
encin_5517_1:Eint_060260	K03137
encin_5517_1:Eint_091625	K10845
encin_5517_1:Eint_040220	K03142
encin_5517_1:Eint_070820	K03143
encin_5517_1:Eint_060100	K10844
encin_5517_1:Eint_070150	K03136
encin_5517_1:Eint_090080	K03128
encin_5517_1:Eint_041450	K03120
encin_5517_1:Eint_010550	K03144
encin_5517_1:Eint_020380	K03123
encin_5517_1:Eint_100710	K03125
encin_5517_1:Eint_050530	K03132
encin_5517_1:Eint_110700	K03134
encin_5517_1:Eint_111640	K03130

### 03040	Spliceosome
encin_5517_1:Eint_101550	K11096
encin_5517_1:Eint_020470	K12833
encin_5517_1:Eint_080470	K11086
encin_5517_1:Eint_080970	K12834
encin_5517_1:Eint_021230	K12859
encin_5517_1:Eint_030280	K12623
encin_5517_1:Eint_071100	K12827
encin_5517_1:Eint_010420	K11087
encin_5517_1:Eint_071690	K12831
encin_5517_1:Eint_030390	K12826
encin_5517_1:Eint_030430	K03283
encin_5517_1:Eint_061070	K12625
encin_5517_1:Eint_090660	K12821
encin_5517_1:Eint_091270	K12836
encin_5517_1:Eint_081080	K12823
encin_5517_1:Eint_100550	K12849
encin_5517_1:Eint_050950	K11099
encin_5517_1:Eint_070400	K12845
encin_5517_1:Eint_061250	K14277
encin_5517_1:Eint_051280	K12873
encin_5517_1:Eint_070980	K12816
encin_5517_1:Eint_111380	K12829
encin_5517_1:Eint_090140	K12815
encin_5517_1:Eint_110500	K12626
encin_5517_1:Eint_040740	K11098
encin_5517_1:Eint_040190	K12818
encin_5517_1:Eint_030730	K11088
encin_5517_1:Eint_100230	K11095
encin_5517_1:Eint_030650	K12883
encin_5517_1:Eint_060130	K12897
encin_5517_1:Eint_020970	K11097
encin_5517_1:Eint_040710	K12856
encin_5517_1:Eint_111870	K12862
encin_5517_1:Eint_020350	K12860
encin_5517_1:Eint_091840	K12621

### 03010	Ribosome
encin_5517_1:Eint_101540	K02983
encin_5517_1:Eint_081870	K02893
encin_5517_1:Eint_030620	K02915
encin_5517_1:Eint_040990	K02978
encin_5517_1:Eint_020850	K02917
encin_5517_1:Eint_090410	K01981
encin_5517_1:Eint_101010	K02942
encin_5517_1:Eint_041340	K02947
encin_5517_1:Eint_010820	K02951
encin_5517_1:Eint_051550	K02908
encin_5517_1:Eint_080270	K02958
encin_5517_1:Eint_080780	K02930
encin_5517_1:Eint_070960	K02921
encin_5517_1:Eint_090390	K02924
encin_5517_1:Eint_071670	K02981
encin_5517_1:Eint_071360	K02880
encin_5517_1:Eint_101530	K02974
encin_5517_1:Eint_080290	K02898
encin_5517_1:Eint_030120	K02910
encin_5517_1:Eint_021040	K02977
encin_5517_1:Eint_081040	K02975
encin_5517_1:Eint_091440	K02979
encin_5517_1:Eint_031110	K02925
encin_5517_1:Eint_091470	K02985
encin_5517_1:Eint_110095	K02971
encin_5517_1:Eint_071410	K02922
encin_5517_1:Eint_040070	K02989
encin_5517_1:Eint_020830	K02995
encin_5517_1:Eint_020560	K02868
encin_5517_1:Eint_040975	K02905
encin_5517_1:Eint_030210	K02960
encin_5517_1:Eint_050960	K02997
encin_5517_1:Eint_091360	K02957
encin_5517_1:Eint_081070	K02975
encin_5517_1:Eint_030840	K02937
encin_5517_1:Eint_050220	K02984
encin_5517_1:Eint_110650	K02993
encin_5517_1:Eint_050620	K02865
encin_5517_1:Eint_020740	K02940
encin_5517_1:Eint_031400	K02883
encin_5517_1:Eint_071340	K02927
encin_5517_1:Eint_040050	K02980
encin_5517_1:Eint_050690	K02991
encin_5517_1:Eint_041290	K02912
encin_5517_1:Eint_081050	K02953
encin_5517_1:Eint_101250	K02929
encin_5517_1:Eint_070040	K02943
encin_5517_1:Eint_111980	K02918
encin_5517_1:Eint_111510	K02966
encin_5517_1:Eint_061050	K02920
encin_5517_1:Eint_020750	K02896
encin_5517_1:Eint_080820	K02987
encin_5517_1:Eint_100930	K02900
encin_5517_1:Eint_050940	K02889
encin_5517_1:Eint_041370	K02872
encin_5517_1:Eint_070760	K02941
encin_5517_1:Eint_010170	K02938
encin_5517_1:Eint_020700	K02936
encin_5517_1:Eint_100350	K02973
encin_5517_1:Eint_111270	K02877
encin_5517_1:Eint_100090	K02893
encin_5517_1:Eint_071470	K01981
encin_5517_1:Eint_061010	K02885
encin_5517_1:Eint_081160	K02894
encin_5517_1:Eint_081540	K02866
encin_5517_1:Eint_070880	K02896
encin_5517_1:Eint_081740	K02934
encin_5517_1:Eint_030220	K02873
encin_5517_1:Eint_030560	K02955
encin_5517_1:Eint_040580	K02949
encin_5517_1:Eint_110590	K02969
encin_5517_1:Eint_020720	K02962
encin_5517_1:Eint_081960	K02870
encin_5517_1:Eint_061040	K02964
encin_5517_1:Eint_061410	K02976
encin_5517_1:Eint_060820	K02932
encin_5517_1:Eint_040380	K02998
encin_5517_1:Eint_040690	K02891
encin_5517_1:Eint_040270	K02901
encin_5517_1:Eint_080540	K02882
encin_5517_1:Eint_090970	K02925

### 00970	Aminoacyl-tRNA biosynthesis
encin_5517_1:Eint_080900	K14236
encin_5517_1:Eint_030270	K14221
encin_5517_1:Eint_050910	K14234
encin_5517_1:Eint_041400	K14230
encin_5517_1:Eint_111140	K14225
encin_5517_1:Eint_100080	K14220
encin_5517_1:Eint_040100	K14229
encin_5517_1:Eint_100130	K14237
encin_5517_1:Eint_071540	K01868
encin_5517_1:Eint_110260	K14230
encin_5517_1:Eint_020460	K14233
encin_5517_1:Eint_110980	K01870
encin_5517_1:Eint_081820	K14234
encin_5517_1:Eint_101760	K01880
encin_5517_1:Eint_060710	K01876
encin_5517_1:Eint_030990	K14231
encin_5517_1:Eint_091810	K14224
encin_5517_1:Eint_091300	K14219
encin_5517_1:Eint_071450	K14229
encin_5517_1:Eint_020820	K14232
encin_5517_1:Eint_101060	K14218
encin_5517_1:Eint_070830	K14228
encin_5517_1:Eint_110210	K14228
encin_5517_1:Eint_100410	K14232
encin_5517_1:Eint_070170	K14223
encin_5517_1:Eint_021320	K01881
encin_5517_1:Eint_081880	K14220
encin_5517_1:Eint_101410	K01886
encin_5517_1:Eint_051160	K01866
encin_5517_1:Eint_060180	K01869
encin_5517_1:Eint_040700	K01875
encin_5517_1:Eint_060320	K14225
encin_5517_1:Eint_061550	K14223
encin_5517_1:Eint_080410	K01883
encin_5517_1:Eint_060540	K01892
encin_5517_1:Eint_110760	K01874
encin_5517_1:Eint_080890	K14237
encin_5517_1:Eint_031200	K14237
encin_5517_1:Eint_080480	K01887
encin_5517_1:Eint_021000	K14218
encin_5517_1:Eint_021460	K01872
encin_5517_1:Eint_080140	K14224
encin_5517_1:Eint_080510	K14222
encin_5517_1:Eint_020480	K14234
encin_5517_1:Eint_071630	K01889
encin_5517_1:Eint_110380	K01867
encin_5517_1:Eint_040850	K01890
encin_5517_1:Eint_041420	K14232
encin_5517_1:Eint_041120	K01873
encin_5517_1:Eint_010670	K14233
encin_5517_1:Eint_050610	K14228
encin_5517_1:Eint_021170	K01885
encin_5517_1:Eint_100240	K14233
encin_5517_1:Eint_071500	K14218
encin_5517_1:Eint_021450	K14228
encin_5517_1:Eint_040390	K14227
encin_5517_1:Eint_010270	K14225
encin_5517_1:Eint_061200	K14219
encin_5517_1:Eint_091690	K01893
encin_5517_1:Eint_091890	K14226
encin_5517_1:Eint_060830	K14235
encin_5517_1:Eint_040140	K14227
encin_5517_1:Eint_030230	K14233
encin_5517_1:Eint_071430	K14219
encin_5517_1:Eint_040530	K04567
encin_5517_1:Eint_080610	K14219
encin_5517_1:Eint_040870	K14228

### 03013	RNA transport
encin_5517_1:Eint_110110	K14290
encin_5517_1:Eint_111540	K03113
encin_5517_1:Eint_061520	K14298
encin_5517_1:Eint_081190	K03539
encin_5517_1:Eint_071290	K03262
encin_5517_1:Eint_100650	K03240
encin_5517_1:Eint_060390	K14312
encin_5517_1:Eint_031350	K00974
encin_5517_1:Eint_061250	K14277
encin_5517_1:Eint_041150	K03236
encin_5517_1:Eint_091320	K07562
encin_5517_1:Eint_111240	K03259
encin_5517_1:Eint_041080	K03231
encin_5517_1:Eint_041570	K07936
encin_5517_1:Eint_090060	K03243
encin_5517_1:Eint_081200	K03539
encin_5517_1:Eint_080850	K03259
encin_5517_1:Eint_091520	K03257
encin_5517_1:Eint_030650	K12883
encin_5517_1:Eint_041620	K03260
encin_5517_1:Eint_071620	K03538
encin_5517_1:Eint_100160	K03246
encin_5517_1:Eint_101610	K14326
encin_5517_1:Eint_010740	K03248
encin_5517_1:Eint_101190	K14293
encin_5517_1:Eint_070600	K12160
encin_5517_1:Eint_070280	K13126
encin_5517_1:Eint_060360	K00784
encin_5517_1:Eint_101660	K03540
encin_5517_1:Eint_050640	K14319
encin_5517_1:Eint_020170	K13126
encin_5517_1:Eint_101050	K13126
encin_5517_1:Eint_110800	K03237
encin_5517_1:Eint_010580	K03242
encin_5517_1:Eint_060110	K03238
encin_5517_1:Eint_010840	K10577
encin_5517_1:Eint_111340	K14004

### 03015	mRNA surveillance pathway
encin_5517_1:Eint_091200	K03456
encin_5517_1:Eint_060700	K06100
encin_5517_1:Eint_030650	K12883
encin_5517_1:Eint_010300	K14404
encin_5517_1:Eint_101610	K14326
encin_5517_1:Eint_031280	K06965
encin_5517_1:Eint_110530	K06269
encin_5517_1:Eint_010410	K14396
encin_5517_1:Eint_070280	K13126
encin_5517_1:Eint_041590	K14962
encin_5517_1:Eint_021360	K15542
encin_5517_1:Eint_020170	K13126
encin_5517_1:Eint_101050	K13126
encin_5517_1:Eint_100330	K00565
encin_5517_1:Eint_051170	K14399
encin_5517_1:Eint_050830	K04354
encin_5517_1:Eint_020680	K14376
encin_5517_1:Eint_080300	K14407
encin_5517_1:Eint_061400	K03267
encin_5517_1:Eint_040640	K04382
encin_5517_1:Eint_100840	K14403
encin_5517_1:Eint_050340	K03265
encin_5517_1:Eint_110460	K14401
encin_5517_1:Eint_060760	K15544
encin_5517_1:Eint_040150	K11584
encin_5517_1:Eint_111280	K14405
encin_5517_1:Eint_090330	K15541

### 03008	Ribosome biogenesis in eukaryotes
encin_5517_1:Eint_081190	K03539
encin_5517_1:Eint_100770	K14563
encin_5517_1:Eint_100220	K14521
encin_5517_1:Eint_080160	K14539
encin_5517_1:Eint_010350	K14568
encin_5517_1:Eint_110110	K14290
encin_5517_1:Eint_080250	K14538
encin_5517_1:Eint_070320	K14570
encin_5517_1:Eint_081580	K14574
encin_5517_1:Eint_110810	K11129
encin_5517_1:Eint_081860	K14572
encin_5517_1:Eint_051380	K14560
encin_5517_1:Eint_081130	K14561
encin_5517_1:Eint_051570	K03097
encin_5517_1:Eint_041570	K07936
encin_5517_1:Eint_081200	K03539
encin_5517_1:Eint_111050	K14549
encin_5517_1:Eint_060340	K14569
encin_5517_1:Eint_070400	K12845
encin_5517_1:Eint_050570	K14566
encin_5517_1:Eint_010190	K14559
encin_5517_1:Eint_090410	K01981
encin_5517_1:Eint_091320	K07562
encin_5517_1:Eint_091460	K07179
encin_5517_1:Eint_040730	K03264
encin_5517_1:Eint_050820	K06943
encin_5517_1:Eint_051060	K11131
encin_5517_1:Eint_071620	K03538
encin_5517_1:Eint_090360	K11883
encin_5517_1:Eint_011300	K11128
encin_5517_1:Eint_071470	K01981
encin_5517_1:Eint_070010	K14557
encin_5517_1:Eint_081525	K11130
encin_5517_1:Eint_051110	K07178
encin_5517_1:Eint_091610	K14564
encin_5517_1:Eint_101150	K03115
encin_5517_1:Eint_060280	K14554
encin_5517_1:Eint_111810	K14561
encin_5517_1:Eint_040770	K14565
encin_5517_1:Eint_091660	K14537
encin_5517_1:Eint_030800	K14758
encin_5517_1:Eint_090720	K12619
encin_5517_1:Eint_050160	K14558
encin_5517_1:Eint_100900	K18532
encin_5517_1:Eint_060960	K11108

### 03060	Protein export
encin_5517_1:Eint_050920	K07342
encin_5517_1:Eint_020710	K13280
encin_5517_1:Eint_080760	K03105
encin_5517_1:Eint_021100	K12947
encin_5517_1:Eint_030300	K12946
encin_5517_1:Eint_090930	K12948
encin_5517_1:Eint_090910	K09481
encin_5517_1:Eint_090120	K10956
encin_5517_1:Eint_060790	K09540
encin_5517_1:Eint_070640	K12275
encin_5517_1:Eint_040950	K03106
encin_5517_1:Eint_100100	K13431

### 04141	Protein processing in endoplasmic reticulum
encin_5517_1:Eint_091120	K10082
encin_5517_1:Eint_050080	K07953
encin_5517_1:Eint_110660	K14006
encin_5517_1:Eint_090910	K09481
encin_5517_1:Eint_070230	K04523
encin_5517_1:Eint_060750	K10661
encin_5517_1:Eint_010640	K10601
encin_5517_1:Eint_030430	K03283
encin_5517_1:Eint_030190	K03094
encin_5517_1:Eint_040570	K10575
encin_5517_1:Eint_011160	K13525
encin_5517_1:Eint_111010	K10666
encin_5517_1:Eint_021190	K14007
encin_5517_1:Eint_050920	K07342
encin_5517_1:Eint_040040	K09523
encin_5517_1:Eint_070710	K14015
encin_5517_1:Eint_110800	K03237
encin_5517_1:Eint_111340	K14004
encin_5517_1:Eint_021060	K04079
encin_5517_1:Eint_070640	K12275
encin_5517_1:Eint_101130	K14016
encin_5517_1:Eint_011010	K03868
encin_5517_1:Eint_090120	K10956
encin_5517_1:Eint_060790	K09540
encin_5517_1:Eint_070700	K09503
encin_5517_1:Eint_111820	K13989

### 04130	SNARE interactions in vesicular transport
encin_5517_1:Eint_111450	K08486
encin_5517_1:Eint_030440	K08516
encin_5517_1:Eint_071590	K08496
encin_5517_1:Eint_110850	K08517

### 04120	Ubiquitin mediated proteolysis
encin_5517_1:Eint_040570	K10575
encin_5517_1:Eint_071345	K03358
encin_5517_1:Eint_080810	K10576
encin_5517_1:Eint_040430	K10587
encin_5517_1:Eint_111040	K03350
encin_5517_1:Eint_041432	K03872
encin_5517_1:Eint_101260	K10573
encin_5517_1:Eint_060050	K03353
encin_5517_1:Eint_061390	K03355
encin_5517_1:Eint_031440	K03364
encin_5517_1:Eint_011230	K10260
encin_5517_1:Eint_010640	K10601
encin_5517_1:Eint_030190	K03094
encin_5517_1:Eint_011010	K03868
encin_5517_1:Eint_030820	K03178
encin_5517_1:Eint_041230	K03363
encin_5517_1:Eint_090820	K10686
encin_5517_1:Eint_051020	K03357
encin_5517_1:Eint_110160	K10144
encin_5517_1:Eint_101500	K10579
encin_5517_1:Eint_010840	K10577

### 04122	Sulfur relay system
encin_5517_1:Eint_031180	K11996
encin_5517_1:Eint_111670	K04487
encin_5517_1:Eint_031130	K14168
encin_5517_1:Eint_030690	K12161

### 03050	Proteasome
encin_5517_1:Eint_070530	K03036
encin_5517_1:Eint_050270	K02736
encin_5517_1:Eint_111560	K02725
encin_5517_1:Eint_101370	K03065
encin_5517_1:Eint_040350	K03038
encin_5517_1:Eint_080200	K02734
encin_5517_1:Eint_051600	K03033
encin_5517_1:Eint_081830	K02737
encin_5517_1:Eint_071610	K03062
encin_5517_1:Eint_081550	K02726
encin_5517_1:Eint_100120	K03037
encin_5517_1:Eint_051120	K03035
encin_5517_1:Eint_110420	K03030
encin_5517_1:Eint_070120	K03064
encin_5517_1:Eint_020410	K03032
encin_5517_1:Eint_051400	K02728
encin_5517_1:Eint_051460	K02729
encin_5517_1:Eint_031230	K03061
encin_5517_1:Eint_111860	K03039
encin_5517_1:Eint_100360	K03029
encin_5517_1:Eint_081930	K03063
encin_5517_1:Eint_100050	K03063
encin_5517_1:Eint_040250	K03028
encin_5517_1:Eint_101400	K02738
encin_5517_1:Eint_100490	K02730
encin_5517_1:Eint_090680	K02739
encin_5517_1:Eint_071000	K02731
encin_5517_1:Eint_020260	K02735
encin_5517_1:Eint_071370	K02732
encin_5517_1:Eint_090320	K02727
encin_5517_1:Eint_091880	K03066

### 03018	RNA degradation
encin_5517_1:Eint_100210	K12590
encin_5517_1:Eint_061480	K12580
encin_5517_1:Eint_041270	K12599
encin_5517_1:Eint_060300	K03678
encin_5517_1:Eint_111960	K12586
encin_5517_1:Eint_090790	K11600
encin_5517_1:Eint_061070	K12625
encin_5517_1:Eint_111260	K12604
encin_5517_1:Eint_030280	K12623
encin_5517_1:Eint_051370	K12620
encin_5517_1:Eint_101650	K01689
encin_5517_1:Eint_091650	K12614
encin_5517_1:Eint_091840	K12621
encin_5517_1:Eint_101290	K03679
encin_5517_1:Eint_090720	K12619
encin_5517_1:Eint_061490	K03514
encin_5517_1:Eint_110520	K12597
encin_5517_1:Eint_020170	K13126
encin_5517_1:Eint_040860	K12598
encin_5517_1:Eint_111020	K12591
encin_5517_1:Eint_101050	K13126
encin_5517_1:Eint_110640	K12603
encin_5517_1:Eint_091480	K03681
encin_5517_1:Eint_010240	K12606
encin_5517_1:Eint_110390	K04043
encin_5517_1:Eint_080800	K12581
encin_5517_1:Eint_071600	K12613
encin_5517_1:Eint_101680	K12584
encin_5517_1:Eint_111550	K10643
encin_5517_1:Eint_070280	K13126
encin_5517_1:Eint_110500	K12626
encin_5517_1:Eint_030610	K12585
encin_5517_1:Eint_030590	K00850

### 03030	DNA replication
encin_5517_1:Eint_080210	K02541
encin_5517_1:Eint_091350	K02210
encin_5517_1:Eint_021110	K02212
encin_5517_1:Eint_101020	K02321
encin_5517_1:Eint_090440	K02327
encin_5517_1:Eint_050310	K02325
encin_5517_1:Eint_101160	K02324
encin_5517_1:Eint_100540	K07466
encin_5517_1:Eint_021180	K10747
encin_5517_1:Eint_051260	K02685
encin_5517_1:Eint_100730	K10756
encin_5517_1:Eint_050800	K02542
encin_5517_1:Eint_030580	K10743
encin_5517_1:Eint_030970	K04799
encin_5517_1:Eint_080570	K02684
encin_5517_1:Eint_040800	K02540
encin_5517_1:Eint_051070	K04802
encin_5517_1:Eint_051590	K10754
encin_5517_1:Eint_091380	K10755
encin_5517_1:Eint_090730	K02328
encin_5517_1:Eint_051030	K02320
encin_5517_1:Eint_060270	K10739
encin_5517_1:Eint_020210	K10756
encin_5517_1:Eint_060250	K02209

### 03410	Base excision repair
encin_5517_1:Eint_051070	K04802
encin_5517_1:Eint_080830	K10773
encin_5517_1:Eint_030970	K04799
encin_5517_1:Eint_110030	K03652
encin_5517_1:Eint_021180	K10747
encin_5517_1:Eint_100470	K03648
encin_5517_1:Eint_090730	K02328
encin_5517_1:Eint_111440	K01151
encin_5517_1:Eint_080730	K03660
encin_5517_1:Eint_050310	K02325
encin_5517_1:Eint_061320	K01142
encin_5517_1:Eint_101160	K02324
encin_5517_1:Eint_090440	K02327

### 03420	Nucleotide excision repair
encin_5517_1:Eint_101160	K02324
encin_5517_1:Eint_050310	K02325
encin_5517_1:Eint_060100	K10844
encin_5517_1:Eint_090440	K02327
encin_5517_1:Eint_040220	K03142
encin_5517_1:Eint_070820	K03143
encin_5517_1:Eint_101280	K10849
encin_5517_1:Eint_090420	K10841
encin_5517_1:Eint_010550	K03144
encin_5517_1:Eint_020210	K10756
encin_5517_1:Eint_060270	K10739
encin_5517_1:Eint_090730	K02328
encin_5517_1:Eint_091380	K10755
encin_5517_1:Eint_021410	K02202
encin_5517_1:Eint_010970	K10843
encin_5517_1:Eint_101120	K10847
encin_5517_1:Eint_091630	K10846
encin_5517_1:Eint_051590	K10754
encin_5517_1:Eint_011010	K03868
encin_5517_1:Eint_051070	K04802
encin_5517_1:Eint_091625	K10845
encin_5517_1:Eint_100730	K10756
encin_5517_1:Eint_080710	K10848
encin_5517_1:Eint_100540	K07466
encin_5517_1:Eint_021180	K10747
encin_5517_1:Eint_110090	K10842

### 03430	Mismatch repair
encin_5517_1:Eint_100730	K10756
encin_5517_1:Eint_051590	K10754
encin_5517_1:Eint_051070	K04802
encin_5517_1:Eint_021180	K10747
encin_5517_1:Eint_100540	K07466
encin_5517_1:Eint_050280	K08734
encin_5517_1:Eint_090730	K02328
encin_5517_1:Eint_020210	K10756
encin_5517_1:Eint_060270	K10739
encin_5517_1:Eint_111150	K10858
encin_5517_1:Eint_091380	K10755
encin_5517_1:Eint_030450	K08735
encin_5517_1:Eint_100660	K08737
encin_5517_1:Eint_090440	K02327
encin_5517_1:Eint_110630	K10746

### 03440	Homologous recombination
encin_5517_1:Eint_100540	K07466
encin_5517_1:Eint_090890	K10873
encin_5517_1:Eint_051340	K10865
encin_5517_1:Eint_090730	K02328
encin_5517_1:Eint_021350	K08991
encin_5517_1:Eint_060270	K10739
encin_5517_1:Eint_041050	K03165
encin_5517_1:Eint_110690	K04482
encin_5517_1:Eint_071090	K10901
encin_5517_1:Eint_070550	K10866
encin_5517_1:Eint_090440	K02327

### 03450	Non-homologous end-joining
encin_5517_1:Eint_070550	K10866
encin_5517_1:Eint_051340	K10865
encin_5517_1:Eint_030970	K04799

### 03460	Fanconi anemia pathway
encin_5517_1:Eint_071090	K10901
encin_5517_1:Eint_021090	K06640
encin_5517_1:Eint_101280	K10849
encin_5517_1:Eint_110690	K04482
encin_5517_1:Eint_041050	K03165
encin_5517_1:Eint_111150	K10858
encin_5517_1:Eint_060270	K10739
encin_5517_1:Eint_021350	K08991
encin_5517_1:Eint_080710	K10848
encin_5517_1:Eint_050280	K08734
encin_5517_1:Eint_100540	K07466

### 02010	ABC transporters
encin_5517_1:Eint_111080	K05663

### 02060	Phosphotransferase system (PTS)

### 03070	Bacterial secretion system
encin_5517_1:Eint_040950	K03106

### 02020	Two-component system

### 04014	Ras signaling pathway
encin_5517_1:Eint_031480	K04393
encin_5517_1:Eint_111060	K01115
encin_5517_1:Eint_091500	K02183
encin_5517_1:Eint_100300	K04513
encin_5517_1:Eint_080680	K07889

### 04015	Rap1 signaling pathway
encin_5517_1:Eint_031480	K04393
encin_5517_1:Eint_091500	K02183
encin_5517_1:Eint_100300	K04513

### 04010	MAPK signaling pathway
encin_5517_1:Eint_031480	K04393
encin_5517_1:Eint_030430	K03283
encin_5517_1:Eint_050440	K04460

### 04013	MAPK signaling pathway - fly

### 04011	MAPK signaling pathway - yeast
encin_5517_1:Eint_100300	K04513
encin_5517_1:Eint_111930	K11215
encin_5517_1:Eint_071710	K12412
encin_5517_1:Eint_031480	K04393

### 04012	ErbB signaling pathway
encin_5517_1:Eint_071230	K03083

### 04310	Wnt signaling pathway
encin_5517_1:Eint_011010	K03868
encin_5517_1:Eint_071230	K03083
encin_5517_1:Eint_100300	K04513
encin_5517_1:Eint_101150	K03115
encin_5517_1:Eint_091310	K04499
encin_5517_1:Eint_030190	K03094
encin_5517_1:Eint_051570	K03097

### 04330	Notch signaling pathway
encin_5517_1:Eint_031270	K06067
encin_5517_1:Eint_101380	K06062

### 04340	Hedgehog signaling pathway
encin_5517_1:Eint_071230	K03083
encin_5517_1:Eint_111880	K02218

### 04350	TGF-beta signaling pathway
encin_5517_1:Eint_100300	K04513
encin_5517_1:Eint_091200	K03456
encin_5517_1:Eint_011010	K03868
encin_5517_1:Eint_030190	K03094
encin_5517_1:Eint_040640	K04382

### 04390	Hippo signaling pathway
encin_5517_1:Eint_040640	K04382
encin_5517_1:Eint_071230	K03083
encin_5517_1:Eint_110530	K06269
encin_5517_1:Eint_091200	K03456
encin_5517_1:Eint_050830	K04354
encin_5517_1:Eint_030900	K16197

### 04391	Hippo signaling pathway - fly
encin_5517_1:Eint_040640	K04382
encin_5517_1:Eint_081410	K16675
encin_5517_1:Eint_091200	K03456
encin_5517_1:Eint_050830	K04354
encin_5517_1:Eint_030900	K16197

### 04370	VEGF signaling pathway
encin_5517_1:Eint_031480	K04393

### 04630	Jak-STAT signaling pathway

### 04064	NF-kappa B signaling pathway
encin_5517_1:Eint_051570	K03097
encin_5517_1:Eint_101150	K03115
encin_5517_1:Eint_010840	K10577

### 04668	TNF signaling pathway
encin_5517_1:Eint_101670	K17065

### 04066	HIF-1 signaling pathway
encin_5517_1:Eint_041140	K00162
encin_5517_1:Eint_080850	K03259
encin_5517_1:Eint_111240	K03259
encin_5517_1:Eint_041432	K03872
encin_5517_1:Eint_101650	K01689
encin_5517_1:Eint_050690	K02991
encin_5517_1:Eint_111430	K00844
encin_5517_1:Eint_091020	K00161
encin_5517_1:Eint_070740	K00134
encin_5517_1:Eint_011010	K03868

### 04068	FoxO signaling pathway
encin_5517_1:Eint_030490	K11838
encin_5517_1:Eint_081890	K02206
encin_5517_1:Eint_110960	K04564

### 04020	Calcium signaling pathway
encin_5517_1:Eint_091500	K02183
encin_5517_1:Eint_080390	K09565

### 04070	Phosphatidylinositol signaling system
encin_5517_1:Eint_091500	K02183
encin_5517_1:Eint_110300	K00888
encin_5517_1:Eint_010910	K00999
encin_5517_1:Eint_051310	K00981
encin_5517_1:Eint_030240	K00889

### 04022	cGMP-PKG signaling pathway
encin_5517_1:Eint_091500	K02183
encin_5517_1:Eint_080390	K09565
encin_5517_1:Eint_110530	K06269
encin_5517_1:Eint_100300	K04513

### 04151	PI3K-Akt signaling pathway
encin_5517_1:Eint_050690	K02991
encin_5517_1:Eint_021060	K04079
encin_5517_1:Eint_050830	K04354
encin_5517_1:Eint_030900	K16197
encin_5517_1:Eint_091200	K03456
encin_5517_1:Eint_071230	K03083
encin_5517_1:Eint_081890	K02206
encin_5517_1:Eint_040150	K11584
encin_5517_1:Eint_111240	K03259
encin_5517_1:Eint_080850	K03259
encin_5517_1:Eint_040640	K04382

### 04152	AMPK signaling pathway
encin_5517_1:Eint_101690	K00021
encin_5517_1:Eint_040150	K11584
encin_5517_1:Eint_040640	K04382
encin_5517_1:Eint_091240	K07901
encin_5517_1:Eint_111350	K03234
encin_5517_1:Eint_050830	K04354
encin_5517_1:Eint_030590	K00850
encin_5517_1:Eint_091200	K03456

### 04150	mTOR signaling pathway
encin_5517_1:Eint_050690	K02991
encin_5517_1:Eint_080850	K03259
encin_5517_1:Eint_111240	K03259

### 04075	Plant hormone signal transduction

### 04080	Neuroactive ligand-receptor interaction

### 04060	Cytokine-cytokine receptor interaction

### 04512	ECM-receptor interaction

### 04514	Cell adhesion molecules (CAMs)

### 04144	Endocytosis
encin_5517_1:Eint_040620	K07904
encin_5517_1:Eint_081660	K12493
encin_5517_1:Eint_030240	K00889
encin_5517_1:Eint_011140	K01528
encin_5517_1:Eint_100300	K04513
encin_5517_1:Eint_080680	K07889
encin_5517_1:Eint_031480	K04393
encin_5517_1:Eint_111060	K01115
encin_5517_1:Eint_110400	K12492
encin_5517_1:Eint_030430	K03283

### 04145	Phagosome
encin_5517_1:Eint_080680	K07889
encin_5517_1:Eint_091820	K02154
encin_5517_1:Eint_081490	K02146
encin_5517_1:Eint_071310	K02155
encin_5517_1:Eint_031020	K02155
encin_5517_1:Eint_050390	K02150
encin_5517_1:Eint_111170	K02145
encin_5517_1:Eint_071150	K07374
encin_5517_1:Eint_110850	K08517
encin_5517_1:Eint_100060	K02149
encin_5517_1:Eint_090120	K10956
encin_5517_1:Eint_030710	K07375
encin_5517_1:Eint_060090	K03661
encin_5517_1:Eint_100980	K02147
encin_5517_1:Eint_080170	K02144
encin_5517_1:Eint_090910	K09481
encin_5517_1:Eint_100580	K10413
encin_5517_1:Eint_050920	K07342
encin_5517_1:Eint_030410	K02148
encin_5517_1:Eint_030200	K02151

### 04142	Lysosome
encin_5517_1:Eint_080170	K02144
encin_5517_1:Eint_060090	K03661
encin_5517_1:Eint_091820	K02154
encin_5517_1:Eint_081490	K02146
encin_5517_1:Eint_031020	K02155
encin_5517_1:Eint_071310	K02155

### 04146	Peroxisome
encin_5517_1:Eint_110960	K04564
encin_5517_1:Eint_100850	K01897
encin_5517_1:Eint_091800	K00869
encin_5517_1:Eint_060870	K07513

### 04140	Regulation of autophagy

### 02030	Bacterial chemotaxis

### 02040	Flagellar assembly

### 04810	Regulation of actin cytoskeleton
encin_5517_1:Eint_031480	K04393
encin_5517_1:Eint_031490	K12757
