### 01100	Metabolic pathways
enche_5516_1:EHEL_070040	K03018
### 01061	Biosynthesis of phenylpropanoids

### 01062	Biosynthesis of terpenoids and steroids

### 01063	Biosynthesis of alkaloids derived from shikimate pathway

### 01064	Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid

### 01065	Biosynthesis of alkaloids derived from histidine and purine

### 01066	Biosynthesis of alkaloids derived from terpenoid and polyketide

### 01070	Biosynthesis of plant hormones

### 03020	RNA polymerase
enche_5516_1:EHEL_080600	K03022
enche_5516_1:EHEL_050310	K03008
enche_5516_1:EHEL_110460	K03020
enche_5516_1:EHEL_041350	K02999
enche_5516_1:EHEL_030400	K03019
enche_5516_1:EHEL_100200	K03025
enche_5516_1:EHEL_111290	K03017
enche_5516_1:EHEL_071730	K03015
enche_5516_1:EHEL_080240	K03014
enche_5516_1:EHEL_081320	K03000
enche_5516_1:EHEL_080730	K03012
enche_5516_1:EHEL_070940	K03013
enche_5516_1:EHEL_060250	K03007
enche_5516_1:EHEL_100240	K03010
enche_5516_1:EHEL_010470	K03027
enche_5516_1:EHEL_070810	K03016
enche_5516_1:EHEL_060550	K03011
enche_5516_1:EHEL_110200	K03021
enche_5516_1:EHEL_070040	K03018
enche_5516_1:EHEL_030170	K03006
enche_5516_1:EHEL_030350	K03002

### 03022	Basal transcription factors
enche_5516_1:EHEL_070170	K03136
enche_5516_1:EHEL_060120	K10844
enche_5516_1:EHEL_040210	K03142
enche_5516_1:EHEL_070850	K03143
enche_5516_1:EHEL_011240	K03133
enche_5516_1:EHEL_060280	K03137
enche_5516_1:EHEL_050590	K03132
enche_5516_1:EHEL_010940	K10843
enche_5516_1:EHEL_100760	K03125
enche_5516_1:EHEL_101140	K03131
enche_5516_1:EHEL_061040	K03124
enche_5516_1:EHEL_020370	K03123
enche_5516_1:EHEL_090070	K03128
enche_5516_1:EHEL_021180	K03135
enche_5516_1:EHEL_020700	K03139
enche_5516_1:EHEL_110100	K10842
enche_5516_1:EHEL_111640	K03130
enche_5516_1:EHEL_010530	K03144
enche_5516_1:EHEL_030970	K03122
enche_5516_1:EHEL_040870	K03127
enche_5516_1:EHEL_021380	K02202
enche_5516_1:EHEL_110710	K03134
enche_5516_1:EHEL_041410	K03120

### 03040	Spliceosome
enche_5516_1:EHEL_071700	K12831
enche_5516_1:EHEL_030390	K12826
enche_5516_1:EHEL_020460	K12833
enche_5516_1:EHEL_051010	K11099
enche_5516_1:EHEL_030270	K12623
enche_5516_1:EHEL_040700	K11098
enche_5516_1:EHEL_030660	K12883
enche_5516_1:EHEL_060150	K12897
enche_5516_1:EHEL_111380	K12829
enche_5516_1:EHEL_090670	K12821
enche_5516_1:EHEL_080470	K11086
enche_5516_1:EHEL_080970	K12834
enche_5516_1:EHEL_090130	K12815
enche_5516_1:EHEL_081070	K12823
enche_5516_1:EHEL_101620	K11096
enche_5516_1:EHEL_091840	K12621
enche_5516_1:EHEL_080050	K12624
enche_5516_1:EHEL_030430	K03283
enche_5516_1:EHEL_061270	K14277
enche_5516_1:EHEL_021200	K12859
enche_5516_1:EHEL_030740	K11088
enche_5516_1:EHEL_020940	K11097
enche_5516_1:EHEL_100280	K11095
enche_5516_1:EHEL_061080	K12625
enche_5516_1:EHEL_051340	K12873
enche_5516_1:EHEL_100610	K12849
enche_5516_1:EHEL_010410	K11087
enche_5516_1:EHEL_071120	K12827
enche_5516_1:EHEL_040670	K12856
enche_5516_1:EHEL_110510	K12626
enche_5516_1:EHEL_080490	K14280
enche_5516_1:EHEL_020340	K12860
enche_5516_1:EHEL_111860	K12862
enche_5516_1:EHEL_091240	K12836
enche_5516_1:EHEL_071010	K12816
enche_5516_1:EHEL_070430	K12845

### 03010	Ribosome
enche_5516_1:EHEL_040940	K02978
enche_5516_1:EHEL_081960	K02870
enche_5516_1:EHEL_081730	K02934
enche_5516_1:EHEL_060840	K02932
enche_5516_1:EHEL_081860	K02893
enche_5516_1:EHEL_071680	K02981
enche_5516_1:EHEL_030560	K02955
enche_5516_1:EHEL_061430	K02976
enche_5516_1:EHEL_070990	K02921
enche_5516_1:EHEL_071360	K02927
enche_5516_1:EHEL_020800	K02995
enche_5516_1:EHEL_081050	K02953
enche_5516_1:EHEL_081030	K02975
enche_5516_1:EHEL_070910	K02896
enche_5516_1:EHEL_030200	K02960
enche_5516_1:EHEL_091330	K02957
enche_5516_1:EHEL_020690	K02962
enche_5516_1:EHEL_071800	K02918
enche_5516_1:EHEL_101000	K02900
enche_5516_1:EHEL_100410	K02973
enche_5516_1:EHEL_101600	K02974
enche_5516_1:EHEL_100140	K02893
enche_5516_1:EHEL_020820	K02917
enche_5516_1:EHEL_050750	K02991
enche_5516_1:EHEL_040260	K02901
enche_5516_1:EHEL_020670	K02936
enche_5516_1:EHEL_031420	K02883
enche_5516_1:EHEL_070790	K02941
enche_5516_1:EHEL_061060	K02920
enche_5516_1:EHEL_080830	K02987
enche_5516_1:EHEL_061050	K02964
enche_5516_1:EHEL_101610	K02983
enche_5516_1:EHEL_020550	K02868
enche_5516_1:EHEL_101320	K02929
enche_5516_1:EHEL_050280	K02984
enche_5516_1:EHEL_111510	K02966
enche_5516_1:EHEL_080550	K02882
enche_5516_1:EHEL_051000	K02889
enche_5516_1:EHEL_031130	K02925
enche_5516_1:EHEL_061020	K02885
enche_5516_1:EHEL_111970	K02918
enche_5516_1:EHEL_090380	K02924
enche_5516_1:EHEL_040540	K02949
enche_5516_1:EHEL_051480	K01981
enche_5516_1:EHEL_030210	K02873
enche_5516_1:EHEL_081540	K02866
enche_5516_1:EHEL_020710	K02940
enche_5516_1:EHEL_090980	K02925
enche_5516_1:EHEL_040650	K02891
enche_5516_1:EHEL_090400	K01981
enche_5516_1:EHEL_101080	K02942
enche_5516_1:EHEL_081060	K02975
enche_5516_1:EHEL_041240	K02912
enche_5516_1:EHEL_080790	K02930
enche_5516_1:EHEL_010790	K02951
enche_5516_1:EHEL_040060	K02989
enche_5516_1:EHEL_030110	K02910
enche_5516_1:EHEL_051020	K02997
enche_5516_1:EHEL_080270	K02958
enche_5516_1:EHEL_020720	K02896
enche_5516_1:EHEL_041290	K02947
enche_5516_1:EHEL_040370	K02998
enche_5516_1:EHEL_111270	K02877
enche_5516_1:EHEL_030850	K02937
enche_5516_1:EHEL_071420	K02922
enche_5516_1:EHEL_071370	K02880
enche_5516_1:EHEL_091410	K02979
enche_5516_1:EHEL_081150	K02894
enche_5516_1:EHEL_051620	K02908
enche_5516_1:EHEL_080290	K02898
enche_5516_1:EHEL_041330	K02872
enche_5516_1:EHEL_070060	K02943
enche_5516_1:EHEL_030620	K02915
enche_5516_1:EHEL_010160	K02938
enche_5516_1:EHEL_110600	K02969
enche_5516_1:EHEL_100050	K02918
enche_5516_1:EHEL_021010	K02977
enche_5516_1:EHEL_050680	K02865
enche_5516_1:EHEL_071480	K01981
enche_5516_1:EHEL_091440	K02985
enche_5516_1:EHEL_040040	K02980

### 00970	Aminoacyl-tRNA biosynthesis
enche_5516_1:EHEL_041360	K14230
enche_5516_1:EHEL_040090	K14229
enche_5516_1:EHEL_091810	K14224
enche_5516_1:EHEL_100290	K14233
enche_5516_1:EHEL_040660	K01875
enche_5516_1:EHEL_101480	K01886
enche_5516_1:EHEL_060850	K14235
enche_5516_1:EHEL_101130	K14218
enche_5516_1:EHEL_110400	K01867
enche_5516_1:EHEL_051220	K01866
enche_5516_1:EHEL_040810	K01890
enche_5516_1:EHEL_021290	K01881
enche_5516_1:EHEL_060570	K01892
enche_5516_1:EHEL_110220	K14228
enche_5516_1:EHEL_061570	K14223
enche_5516_1:EHEL_071460	K14229
enche_5516_1:EHEL_100470	K14232
enche_5516_1:EHEL_080620	K14219
enche_5516_1:EHEL_080520	K14222
enche_5516_1:EHEL_080140	K14224
enche_5516_1:EHEL_071550	K01868
enche_5516_1:EHEL_040830	K14228
enche_5516_1:EHEL_031220	K14237
enche_5516_1:EHEL_020470	K14234
enche_5516_1:EHEL_070860	K14228
enche_5516_1:EHEL_031000	K14231
enche_5516_1:EHEL_041380	K14232
enche_5516_1:EHEL_060340	K14225
enche_5516_1:EHEL_080480	K01887
enche_5516_1:EHEL_110270	K14230
enche_5516_1:EHEL_081870	K14220
enche_5516_1:EHEL_021430	K01872
enche_5516_1:EHEL_110980	K01870
enche_5516_1:EHEL_100180	K14237
enche_5516_1:EHEL_080410	K01883
enche_5516_1:EHEL_020450	K14233
enche_5516_1:EHEL_020790	K14232
enche_5516_1:EHEL_111140	K14225
enche_5516_1:EHEL_100130	K14220
enche_5516_1:EHEL_060730	K01876
enche_5516_1:EHEL_050670	K14228
enche_5516_1:EHEL_071510	K14218
enche_5516_1:EHEL_091690	K01893
enche_5516_1:EHEL_060200	K01869
enche_5516_1:EHEL_040130	K14227
enche_5516_1:EHEL_021140	K01885
enche_5516_1:EHEL_061220	K14219
enche_5516_1:EHEL_101830	K01880
enche_5516_1:EHEL_050970	K14234
enche_5516_1:EHEL_041070	K01873
enche_5516_1:EHEL_071640	K01889
enche_5516_1:EHEL_040490	K04567
enche_5516_1:EHEL_040380	K14227
enche_5516_1:EHEL_080900	K14237
enche_5516_1:EHEL_010640	K14233
enche_5516_1:EHEL_030220	K14233
enche_5516_1:EHEL_091890	K14226
enche_5516_1:EHEL_030260	K14221
enche_5516_1:EHEL_110770	K01874
enche_5516_1:EHEL_091270	K14219
enche_5516_1:EHEL_021420	K14228
enche_5516_1:EHEL_070190	K14223
enche_5516_1:EHEL_081810	K14234
enche_5516_1:EHEL_080910	K14236
enche_5516_1:EHEL_071440	K14219
enche_5516_1:EHEL_020970	K14218
enche_5516_1:EHEL_010260	K14225

### 03013	RNA transport
enche_5516_1:EHEL_060390	K00784
enche_5516_1:EHEL_101730	K03540
enche_5516_1:EHEL_010710	K03248
enche_5516_1:EHEL_080490	K14280
enche_5516_1:EHEL_101260	K14293
enche_5516_1:EHEL_081190	K03539
enche_5516_1:EHEL_101120	K13126
enche_5516_1:EHEL_041580	K03260
enche_5516_1:EHEL_050700	K14319
enche_5516_1:EHEL_090050	K03243
enche_5516_1:EHEL_091490	K03257
enche_5516_1:EHEL_091290	K07562
enche_5516_1:EHEL_111540	K03113
enche_5516_1:EHEL_110120	K14290
enche_5516_1:EHEL_061270	K14277
enche_5516_1:EHEL_100700	K03240
enche_5516_1:EHEL_111240	K03259
enche_5516_1:EHEL_010560	K03242
enche_5516_1:EHEL_111340	K14004
enche_5516_1:EHEL_031370	K00974
enche_5516_1:EHEL_070630	K12160
enche_5516_1:EHEL_101680	K14326
enche_5516_1:EHEL_030660	K12883
enche_5516_1:EHEL_080860	K03259
enche_5516_1:EHEL_041100	K03236
enche_5516_1:EHEL_041530	K07936
enche_5516_1:EHEL_060420	K14312
enche_5516_1:EHEL_071630	K03538
enche_5516_1:EHEL_110810	K03237
enche_5516_1:EHEL_060130	K03238
enche_5516_1:EHEL_100210	K03246
enche_5516_1:EHEL_081180	K03539
enche_5516_1:EHEL_041030	K03231
enche_5516_1:EHEL_071310	K03262
enche_5516_1:EHEL_010810	K10577
enche_5516_1:EHEL_061540	K14298

### 03015	mRNA surveillance pathway
enche_5516_1:EHEL_060780	K15544
enche_5516_1:EHEL_041550	K14962
enche_5516_1:EHEL_100390	K00565
enche_5516_1:EHEL_050400	K03265
enche_5516_1:EHEL_101120	K13126
enche_5516_1:EHEL_060720	K06100
enche_5516_1:EHEL_010400	K14396
enche_5516_1:EHEL_061420	K03267
enche_5516_1:EHEL_010290	K14404
enche_5516_1:EHEL_051230	K14399
enche_5516_1:EHEL_050890	K04354
enche_5516_1:EHEL_040140	K11584
enche_5516_1:EHEL_100910	K14403
enche_5516_1:EHEL_020650	K14376
enche_5516_1:EHEL_090320	K15541
enche_5516_1:EHEL_091170	K03456
enche_5516_1:EHEL_111280	K14405
enche_5516_1:EHEL_021330	K15542
enche_5516_1:EHEL_031300	K06965
enche_5516_1:EHEL_080300	K14407
enche_5516_1:EHEL_110480	K14401
enche_5516_1:EHEL_040600	K04382
enche_5516_1:EHEL_110540	K06269
enche_5516_1:EHEL_030660	K12883
enche_5516_1:EHEL_101680	K14326

### 03008	Ribosome biogenesis in eukaryotes
enche_5516_1:EHEL_091610	K14564
enche_5516_1:EHEL_110120	K14290
enche_5516_1:EHEL_060970	K11108
enche_5516_1:EHEL_060300	K14554
enche_5516_1:EHEL_080250	K14538
enche_5516_1:EHEL_091290	K07562
enche_5516_1:EHEL_101220	K03115
enche_5516_1:EHEL_091660	K14537
enche_5516_1:EHEL_051640	K03097
enche_5516_1:EHEL_010180	K14559
enche_5516_1:EHEL_011270	K11128
enche_5516_1:EHEL_090730	K12619
enche_5516_1:EHEL_071480	K01981
enche_5516_1:EHEL_051480	K01981
enche_5516_1:EHEL_010340	K14568
enche_5516_1:EHEL_090350	K11883
enche_5516_1:EHEL_110820	K11129
enche_5516_1:EHEL_081850	K14572
enche_5516_1:EHEL_090400	K01981
enche_5516_1:EHEL_051170	K07178
enche_5516_1:EHEL_100830	K14563
enche_5516_1:EHEL_080160	K14539
enche_5516_1:EHEL_081190	K03539
enche_5516_1:EHEL_070030	K14557
enche_5516_1:EHEL_091430	K07179
enche_5516_1:EHEL_070430	K12845
enche_5516_1:EHEL_081120	K14561
enche_5516_1:EHEL_071630	K03538
enche_5516_1:EHEL_060360	K14569
enche_5516_1:EHEL_041530	K07936
enche_5516_1:EHEL_050880	K06943
enche_5516_1:EHEL_040690	K03264
enche_5516_1:EHEL_051440	K14560
enche_5516_1:EHEL_081580	K14574
enche_5516_1:EHEL_050220	K14558
enche_5516_1:EHEL_111800	K14561
enche_5516_1:EHEL_081180	K03539
enche_5516_1:EHEL_111050	K14549
enche_5516_1:EHEL_100970	K18532
enche_5516_1:EHEL_030810	K14758
enche_5516_1:EHEL_040730	K14565
enche_5516_1:EHEL_100270	K14521
enche_5516_1:EHEL_051120	K11131
enche_5516_1:EHEL_070350	K14570
enche_5516_1:EHEL_050630	K14566

### 03060	Protein export
enche_5516_1:EHEL_100150	K13431
enche_5516_1:EHEL_050980	K07342
enche_5516_1:EHEL_020680	K13280
enche_5516_1:EHEL_021070	K12947
enche_5516_1:EHEL_090940	K12948
enche_5516_1:EHEL_070670	K12275
enche_5516_1:EHEL_030290	K12946
enche_5516_1:EHEL_060810	K09540
enche_5516_1:EHEL_080770	K03105
enche_5516_1:EHEL_040900	K03106
enche_5516_1:EHEL_090110	K10956
enche_5516_1:EHEL_090920	K09481

### 04141	Protein processing in endoplasmic reticulum
enche_5516_1:EHEL_040030	K09523
enche_5516_1:EHEL_021160	K14007
enche_5516_1:EHEL_021030	K04079
enche_5516_1:EHEL_110810	K03237
enche_5516_1:EHEL_070250	K04523
enche_5516_1:EHEL_050980	K07342
enche_5516_1:EHEL_091110	K10082
enche_5516_1:EHEL_010620	K10601
enche_5516_1:EHEL_111340	K14004
enche_5516_1:EHEL_030430	K03283
enche_5516_1:EHEL_070740	K14015
enche_5516_1:EHEL_011130	K13525
enche_5516_1:EHEL_030180	K03094
enche_5516_1:EHEL_010980	K03868
enche_5516_1:EHEL_050140	K07953
enche_5516_1:EHEL_090920	K09481
enche_5516_1:EHEL_090110	K10956
enche_5516_1:EHEL_060770	K10661
enche_5516_1:EHEL_101770	K04523
enche_5516_1:EHEL_060810	K09540
enche_5516_1:EHEL_111010	K10666
enche_5516_1:EHEL_101200	K14016
enche_5516_1:EHEL_070670	K12275
enche_5516_1:EHEL_040530	K10575
enche_5516_1:EHEL_110670	K14006
enche_5516_1:EHEL_070730	K09503
enche_5516_1:EHEL_111810	K13989

### 04130	SNARE interactions in vesicular transport
enche_5516_1:EHEL_110860	K08517
enche_5516_1:EHEL_071600	K08496
enche_5516_1:EHEL_111450	K08486
enche_5516_1:EHEL_030440	K08516

### 04120	Ubiquitin mediated proteolysis
enche_5516_1:EHEL_010620	K10601
enche_5516_1:EHEL_111040	K03350
enche_5516_1:EHEL_030180	K03094
enche_5516_1:EHEL_010980	K03868
enche_5516_1:EHEL_011210	K10260
enche_5516_1:EHEL_061410	K03355
enche_5516_1:EHEL_110170	K10144
enche_5516_1:EHEL_101570	K10579
enche_5516_1:EHEL_041180	K03363
enche_5516_1:EHEL_051080	K03357
enche_5516_1:EHEL_080820	K10576
enche_5516_1:EHEL_010810	K10577
enche_5516_1:EHEL_030830	K03178
enche_5516_1:EHEL_040530	K10575
enche_5516_1:EHEL_060070	K03353
enche_5516_1:EHEL_031460	K03364
enche_5516_1:EHEL_090830	K10686
enche_5516_1:EHEL_040430	K10587
enche_5516_1:EHEL_101330	K10573

### 04122	Sulfur relay system
enche_5516_1:EHEL_031150	K14168
enche_5516_1:EHEL_031200	K11996
enche_5516_1:EHEL_030700	K12161
enche_5516_1:EHEL_111660	K04487

### 03050	Proteasome
enche_5516_1:EHEL_051670	K03033
enche_5516_1:EHEL_111560	K02725
enche_5516_1:EHEL_031250	K03061
enche_5516_1:EHEL_071380	K02732
enche_5516_1:EHEL_051460	K02728
enche_5516_1:EHEL_101440	K03065
enche_5516_1:EHEL_100100	K03063
enche_5516_1:EHEL_110440	K03030
enche_5516_1:EHEL_040240	K03028
enche_5516_1:EHEL_081550	K02726
enche_5516_1:EHEL_090310	K02727
enche_5516_1:EHEL_070560	K03036
enche_5516_1:EHEL_100170	K03037
enche_5516_1:EHEL_100420	K03029
enche_5516_1:EHEL_081820	K02737
enche_5516_1:EHEL_090690	K02739
enche_5516_1:EHEL_071620	K03062
enche_5516_1:EHEL_070140	K03064
enche_5516_1:EHEL_101470	K02738
enche_5516_1:EHEL_040340	K03038
enche_5516_1:EHEL_091880	K03066
enche_5516_1:EHEL_051530	K02729
enche_5516_1:EHEL_111850	K03039
enche_5516_1:EHEL_080200	K02734
enche_5516_1:EHEL_020270	K02735
enche_5516_1:EHEL_081920	K03063
enche_5516_1:EHEL_071030	K02731
enche_5516_1:EHEL_100550	K02730
enche_5516_1:EHEL_050330	K02736
enche_5516_1:EHEL_020400	K03032
enche_5516_1:EHEL_051180	K03035

### 03018	RNA degradation
enche_5516_1:EHEL_110650	K12603
enche_5516_1:EHEL_061080	K12625
enche_5516_1:EHEL_060320	K03678
enche_5516_1:EHEL_110850	K12611
enche_5516_1:EHEL_090730	K12619
enche_5516_1:EHEL_110510	K12626
enche_5516_1:EHEL_091650	K12614
enche_5516_1:EHEL_051430	K12620
enche_5516_1:EHEL_110410	K04043
enche_5516_1:EHEL_030610	K12585
enche_5516_1:EHEL_010230	K12606
enche_5516_1:EHEL_061500	K12580
enche_5516_1:EHEL_101120	K13126
enche_5516_1:EHEL_080810	K12581
enche_5516_1:EHEL_040820	K12598
enche_5516_1:EHEL_101720	K01689
enche_5516_1:EHEL_111950	K12586
enche_5516_1:EHEL_091450	K03681
enche_5516_1:EHEL_110530	K12597
enche_5516_1:EHEL_101750	K12584
enche_5516_1:EHEL_030590	K00850
enche_5516_1:EHEL_100260	K12590
enche_5516_1:EHEL_030270	K12623
enche_5516_1:EHEL_111260	K12604
enche_5516_1:EHEL_071610	K12613
enche_5516_1:EHEL_111550	K10643
enche_5516_1:EHEL_061510	K03514
enche_5516_1:EHEL_090800	K11600
enche_5516_1:EHEL_111020	K12591
enche_5516_1:EHEL_091840	K12621
enche_5516_1:EHEL_080050	K12624
enche_5516_1:EHEL_041220	K12599
enche_5516_1:EHEL_101360	K03679

### 03030	DNA replication
enche_5516_1:EHEL_030980	K04799
enche_5516_1:EHEL_050370	K02325
enche_5516_1:EHEL_051130	K04802
enche_5516_1:EHEL_051660	K10754
enche_5516_1:EHEL_091320	K02210
enche_5516_1:EHEL_101230	K02324
enche_5516_1:EHEL_021150	K10747
enche_5516_1:EHEL_091350	K10755
enche_5516_1:EHEL_020220	K10756
enche_5516_1:EHEL_060270	K02209
enche_5516_1:EHEL_090430	K02327
enche_5516_1:EHEL_100780	K10756
enche_5516_1:EHEL_020610	K10755
enche_5516_1:EHEL_051090	K02320
enche_5516_1:EHEL_021080	K02212
enche_5516_1:EHEL_050860	K02542
enche_5516_1:EHEL_030580	K10743
enche_5516_1:EHEL_100600	K07466
enche_5516_1:EHEL_060290	K10739
enche_5516_1:EHEL_080580	K02684
enche_5516_1:EHEL_040760	K02540
enche_5516_1:EHEL_080210	K02541
enche_5516_1:EHEL_101090	K02321
enche_5516_1:EHEL_051320	K02685
enche_5516_1:EHEL_090740	K02328

### 03410	Base excision repair
enche_5516_1:EHEL_100530	K03648
enche_5516_1:EHEL_090740	K02328
enche_5516_1:EHEL_080740	K03660
enche_5516_1:EHEL_061340	K01142
enche_5516_1:EHEL_111440	K01151
enche_5516_1:EHEL_080840	K10773
enche_5516_1:EHEL_050370	K02325
enche_5516_1:EHEL_030980	K04799
enche_5516_1:EHEL_090430	K02327
enche_5516_1:EHEL_101230	K02324
enche_5516_1:EHEL_021150	K10747
enche_5516_1:EHEL_051130	K04802

### 03420	Nucleotide excision repair
enche_5516_1:EHEL_060290	K10739
enche_5516_1:EHEL_021380	K02202
enche_5516_1:EHEL_090740	K02328
enche_5516_1:EHEL_010980	K03868
enche_5516_1:EHEL_010530	K03144
enche_5516_1:EHEL_110100	K10842
enche_5516_1:EHEL_100600	K07466
enche_5516_1:EHEL_101190	K10847
enche_5516_1:EHEL_051130	K04802
enche_5516_1:EHEL_051660	K10754
enche_5516_1:EHEL_021150	K10747
enche_5516_1:EHEL_101230	K02324
enche_5516_1:EHEL_091350	K10755
enche_5516_1:EHEL_090410	K10841
enche_5516_1:EHEL_020220	K10756
enche_5516_1:EHEL_010940	K10843
enche_5516_1:EHEL_101350	K10849
enche_5516_1:EHEL_090430	K02327
enche_5516_1:EHEL_080720	K10848
enche_5516_1:EHEL_020610	K10755
enche_5516_1:EHEL_100780	K10756
enche_5516_1:EHEL_091630	K10846
enche_5516_1:EHEL_050370	K02325
enche_5516_1:EHEL_070850	K03143
enche_5516_1:EHEL_040210	K03142
enche_5516_1:EHEL_060120	K10844

### 03430	Mismatch repair
enche_5516_1:EHEL_111150	K10858
enche_5516_1:EHEL_050340	K08734
enche_5516_1:EHEL_030450	K08735
enche_5516_1:EHEL_100600	K07466
enche_5516_1:EHEL_060290	K10739
enche_5516_1:EHEL_090740	K02328
enche_5516_1:EHEL_100710	K08737
enche_5516_1:EHEL_051130	K04802
enche_5516_1:EHEL_110640	K10746
enche_5516_1:EHEL_051660	K10754
enche_5516_1:EHEL_021150	K10747
enche_5516_1:EHEL_091350	K10755
enche_5516_1:EHEL_020220	K10756
enche_5516_1:EHEL_090430	K02327
enche_5516_1:EHEL_100780	K10756
enche_5516_1:EHEL_020610	K10755

### 03440	Homologous recombination
enche_5516_1:EHEL_060290	K10739
enche_5516_1:EHEL_110700	K04482
enche_5516_1:EHEL_090740	K02328
enche_5516_1:EHEL_070580	K10866
enche_5516_1:EHEL_100600	K07466
enche_5516_1:EHEL_071110	K10901
enche_5516_1:EHEL_090900	K10873
enche_5516_1:EHEL_021320	K08991
enche_5516_1:EHEL_090430	K02327
enche_5516_1:EHEL_051400	K10865
enche_5516_1:EHEL_041000	K03165

### 03450	Non-homologous end-joining
enche_5516_1:EHEL_051400	K10865
enche_5516_1:EHEL_030980	K04799
enche_5516_1:EHEL_070580	K10866

### 03460	Fanconi anemia pathway
enche_5516_1:EHEL_071110	K10901
enche_5516_1:EHEL_100600	K07466
enche_5516_1:EHEL_050340	K08734
enche_5516_1:EHEL_111150	K10858
enche_5516_1:EHEL_110700	K04482
enche_5516_1:EHEL_060290	K10739
enche_5516_1:EHEL_041000	K03165
enche_5516_1:EHEL_080720	K10848
enche_5516_1:EHEL_101350	K10849
enche_5516_1:EHEL_021060	K06640
enche_5516_1:EHEL_021320	K08991

### 02010	ABC transporters
enche_5516_1:EHEL_060220	K05679

### 02060	Phosphotransferase system (PTS)

### 03070	Bacterial secretion system
enche_5516_1:EHEL_040900	K03106

### 02020	Two-component system

### 04014	Ras signaling pathway
enche_5516_1:EHEL_100360	K04513
enche_5516_1:EHEL_080690	K07889
enche_5516_1:EHEL_111060	K01115
enche_5516_1:EHEL_091470	K02183

### 04015	Rap1 signaling pathway
enche_5516_1:EHEL_091470	K02183
enche_5516_1:EHEL_100360	K04513

### 04010	MAPK signaling pathway
enche_5516_1:EHEL_030430	K03283
enche_5516_1:EHEL_080080	K06268
enche_5516_1:EHEL_050500	K04460

### 04013	MAPK signaling pathway - fly

### 04011	MAPK signaling pathway - yeast
enche_5516_1:EHEL_111920	K11215
enche_5516_1:EHEL_100360	K04513

### 04012	ErbB signaling pathway
enche_5516_1:EHEL_071250	K03083
enche_5516_1:EHEL_100570	K04688

### 04310	Wnt signaling pathway
enche_5516_1:EHEL_030180	K03094
enche_5516_1:EHEL_010980	K03868
enche_5516_1:EHEL_091280	K04499
enche_5516_1:EHEL_080080	K06268
enche_5516_1:EHEL_071250	K03083
enche_5516_1:EHEL_051640	K03097
enche_5516_1:EHEL_101220	K03115
enche_5516_1:EHEL_100360	K04513

### 04330	Notch signaling pathway
enche_5516_1:EHEL_031290	K06067
enche_5516_1:EHEL_101450	K06062

### 04340	Hedgehog signaling pathway
enche_5516_1:EHEL_071250	K03083
enche_5516_1:EHEL_111870	K02218

### 04350	TGF-beta signaling pathway
enche_5516_1:EHEL_100570	K04688
enche_5516_1:EHEL_100360	K04513
enche_5516_1:EHEL_030180	K03094
enche_5516_1:EHEL_010980	K03868
enche_5516_1:EHEL_091170	K03456
enche_5516_1:EHEL_040600	K04382

### 04390	Hippo signaling pathway
enche_5516_1:EHEL_091170	K03456
enche_5516_1:EHEL_071250	K03083
enche_5516_1:EHEL_110540	K06269
enche_5516_1:EHEL_040600	K04382
enche_5516_1:EHEL_030910	K16197
enche_5516_1:EHEL_050890	K04354

### 04391	Hippo signaling pathway - fly
enche_5516_1:EHEL_091170	K03456
enche_5516_1:EHEL_040600	K04382
enche_5516_1:EHEL_081410	K16675
enche_5516_1:EHEL_030910	K16197
enche_5516_1:EHEL_050890	K04354

### 04370	VEGF signaling pathway
enche_5516_1:EHEL_080080	K06268

### 04630	Jak-STAT signaling pathway

### 04064	NF-kappa B signaling pathway
enche_5516_1:EHEL_101220	K03115
enche_5516_1:EHEL_051640	K03097
enche_5516_1:EHEL_010810	K10577

### 04668	TNF signaling pathway
enche_5516_1:EHEL_101740	K17065
enche_5516_1:EHEL_011110	K17065

### 04066	HIF-1 signaling pathway
enche_5516_1:EHEL_111430	K00844
enche_5516_1:EHEL_041090	K00162
enche_5516_1:EHEL_101720	K01689
enche_5516_1:EHEL_100570	K04688
enche_5516_1:EHEL_080860	K03259
enche_5516_1:EHEL_050750	K02991
enche_5516_1:EHEL_091030	K00161
enche_5516_1:EHEL_111240	K03259
enche_5516_1:EHEL_070770	K00134
enche_5516_1:EHEL_010980	K03868

### 04068	FoxO signaling pathway
enche_5516_1:EHEL_010500	K06631
enche_5516_1:EHEL_110960	K04564
enche_5516_1:EHEL_081880	K02206
enche_5516_1:EHEL_030490	K11838

### 04020	Calcium signaling pathway
enche_5516_1:EHEL_091470	K02183
enche_5516_1:EHEL_080080	K06268

### 04070	Phosphatidylinositol signaling system
enche_5516_1:EHEL_091470	K02183
enche_5516_1:EHEL_010880	K00999
enche_5516_1:EHEL_030230	K00889
enche_5516_1:EHEL_051370	K00981
enche_5516_1:EHEL_100590	K00914
enche_5516_1:EHEL_110310	K00888

### 04022	cGMP-PKG signaling pathway
enche_5516_1:EHEL_080080	K06268
enche_5516_1:EHEL_091470	K02183
enche_5516_1:EHEL_110540	K06269
enche_5516_1:EHEL_100360	K04513

### 04151	PI3K-Akt signaling pathway
enche_5516_1:EHEL_030910	K16197
enche_5516_1:EHEL_100570	K04688
enche_5516_1:EHEL_050890	K04354
